,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
77000,77000,77000,"[,]",2020-05-11 13:50:42+00:00,"Necesito juntarme con mis amigos, cuarentena podes ir yendote ya, no me enojo",Necesito juntarme amigos cuarentena podes yendote enojo,"['necesito', 'juntarme', 'amigos', 'cuarentena', 'podes', 'yendote', 'enojo']","['necesit', 'junt', 'amig', 'cuarenten', 'pod', 'yendot', 'enoj']"
77107,77107,77107,"[,]",2020-05-11 13:58:16+00:00,Si hay algo que no cambió en esta cuarentena es la cantidad de veces que hago caca a la mañana,algo cambi esta cuarentena cantidad veces hago caca,"['algo', 'cambi', 'esta', 'cuarentena', 'cantidad', 'veces', 'hago', 'caca']","['algo', 'cambi', 'esta', 'cuarenten', 'cantid', 'vec', 'hag', 'cac']"
77382,77382,77382,"[,]",2020-05-11 14:19:25+00:00,Alberto levantarle la cuarentena a la franja morada para poder tener el 36° congreso nacional 😭,Alberto levantarle cuarentena franja morada para poder tener congreso nacional,"['alberto', 'levantarle', 'cuarentena', 'franja', 'morada', 'para', 'poder', 'tener', 'congreso', 'nacional']","['albert', 'levant', 'cuarenten', 'franj', 'mor', 'par', 'pod', 'ten', 'congres', 'nacional']"
77469,77469,77469,"[,]",2020-05-11 14:24:37+00:00,"@retroviral13 Es q el neoliberalismo necesita muertes, con 15/millones se arreglan por ahora, el virus le funciona como si estuviera Hitler",neoliberalismo necesita muertes millones arreglan ahora virus funciona como estuviera Hitler,"['neoliberalismo', 'necesita', 'muertes', 'millones', 'arreglan', 'ahora', 'virus', 'funciona', 'como', 'estuviera', 'hitler']","['neoliberal', 'necesit', 'muert', 'millon', 'arregl', 'ahor', 'virus', 'funcion', 'com', 'estuv', 'hitl']"
77475,77475,77475,"[,]",2020-05-11 14:24:45+00:00,-como vas con la cuarentena? - a dos pajas de ser escoba,como cuarentena pajas escoba,"['como', 'cuarentena', 'pajas', 'escoba']","['com', 'cuarenten', 'paj', 'escob']"
77485,77485,77485,"[,]",2020-05-11 14:25:08+00:00,@pattie17 Buen día Meri se terminó La cuarentena 😮,Buen Meri termin cuarentena,"['buen', 'meri', 'termin', 'cuarentena']","['buen', 'meri', 'termin', 'cuarenten']"
77561,77561,77561,"[,]",2020-05-11 14:30:32+00:00,@ari3bx Jaaaaa! Usted se tiene que poner en forma en lo que queda de cuarentena para ir a jugar un picadito 🏀🏀🏀,Jaaaaa Usted tiene poner forma queda cuarentena para jugar picadito,"['jaaaaa', 'usted', 'tiene', 'poner', 'forma', 'queda', 'cuarentena', 'para', 'jugar', 'picadito']","['jaaaa', 'usted', 'tien', 'pon', 'form', 'qued', 'cuarenten', 'par', 'jug', 'picadit']"
77582,77582,77582,"[,]",2020-05-11 14:32:50+00:00,A pesar de la cuarentena pude pasar mí cumple con las personas que quiero 🤝😊😊,pesar cuarentena pude pasar cumple personas quiero,"['pesar', 'cuarentena', 'pude', 'pasar', 'cumple', 'personas', 'quiero']","['pes', 'cuarenten', 'pud', 'pas', 'cumpl', 'person', 'quier']"
77685,77685,77685,"[,]",2020-05-11 14:44:23+00:00,El día a día de la cuarentena,cuarentena,['cuarentena'],['cuarenten']
77721,77721,77721,"[,]",2020-05-11 14:46:45+00:00,Tengo asma.. no soporto el barbijo. Siento que me ahogo Virus del orto te odio,Tengo asma soporto barbijo Siento ahogo Virus orto odio,"['tengo', 'asma', 'soporto', 'barbijo', 'siento', 'ahogo', 'virus', 'orto', 'odio']","['teng', 'asma', 'soport', 'barbij', 'sient', 'ahog', 'virus', 'orto', 'odi']"
77989,77989,77989,"[,]",2020-05-11 15:01:42+00:00,"Lo mejor de la cuarentena es que para mi cumple, no tengo que recibir a nadie en mi casa ✌💋",mejor cuarentena para cumple tengo recibir nadie casa,"['mejor', 'cuarentena', 'para', 'cumple', 'tengo', 'recibir', 'nadie', 'casa']","['mejor', 'cuarenten', 'par', 'cumpl', 'teng', 'recib', 'nadi', 'cas']"
77995,77995,77995,"[,]",2020-05-11 15:02:03+00:00,Alberto levantale la cuarentena a la franja morada para poder tener el 36° congreso nacional 😭,Alberto levantale cuarentena franja morada para poder tener congreso nacional,"['alberto', 'levantale', 'cuarentena', 'franja', 'morada', 'para', 'poder', 'tener', 'congreso', 'nacional']","['albert', 'levantal', 'cuarenten', 'franj', 'mor', 'par', 'pod', 'ten', 'congres', 'nacional']"
78025,78025,78025,"[,]",2020-05-11 15:04:00+00:00,2da vez en la cuarentena que me levanto temprano. Cuesta pero se va logrando arre,cuarentena levanto temprano Cuesta pero logrando arre,"['cuarentena', 'levanto', 'temprano', 'cuesta', 'pero', 'logrando', 'arre']","['cuarenten', 'levant', 'tempran', 'cuest', 'per', 'logr', 'arre']"
78086,78086,78086,"[,]",2020-05-11 15:08:43+00:00,"Bud Bunny salvó la cuarentena , no había más nada para escuchar ajaja.",Bunny salv cuarentena nada para escuchar ajaja,"['bunny', 'salv', 'cuarentena', 'nada', 'para', 'escuchar', 'ajaja']","['bunny', 'salv', 'cuarenten', 'nad', 'par', 'escuch', 'ajaj']"
78115,78115,78115,"[,]",2020-05-11 15:10:37+00:00,Bud Bunny con el album y ferpa con los vivos  salvan la cuarentena ajaja.,Bunny album ferpa vivos salvan cuarentena ajaja,"['bunny', 'album', 'ferpa', 'vivos', 'salvan', 'cuarentena', 'ajaja']","['bunny', 'album', 'ferp', 'viv', 'salv', 'cuarenten', 'ajaj']"
78116,78116,78116,"[,]",2020-05-11 15:10:39+00:00,"La cuarentena ha hecho a las personas muy poéticas, así se expresan en los comentarios. 🤷🏻‍♂️",cuarentena hecho personas ticas expresan comentarios,"['cuarentena', 'hecho', 'personas', 'ticas', 'expresan', 'comentarios']","['cuarenten', 'hech', 'person', 'tic', 'expres', 'comentari']"
78183,78183,78183,"[,]",2020-05-11 15:14:29+00:00,"Hasta los OVNI parecen querer decirle al Presidente:   ‘Acá, nadie respeta cuarentena, c...!’.",Hasta OVNI parecen querer decirle Presidente nadie respeta cuarentena,"['hasta', 'ovni', 'parecen', 'querer', 'decirle', 'presidente', 'nadie', 'respeta', 'cuarentena']","['hast', 'ovni', 'parec', 'quer', 'dec', 'president', 'nadi', 'respet', 'cuarenten']"
78204,78204,78204,"[,]",2020-05-11 15:15:47+00:00,Me causa gracia los defensores de cuarentena afoooollll al principio y ahora se escapan más que el chapo,causa gracia defensores cuarentena afoooollll principio ahora escapan chapo,"['causa', 'gracia', 'defensores', 'cuarentena', 'afoooollll', 'principio', 'ahora', 'escapan', 'chapo']","['caus', 'graci', 'defensor', 'cuarenten', 'afoooollll', 'principi', 'ahor', 'escap', 'chap']"
